CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,6,814,774,0
43,1,596,556,0
86,1,556,516,0
129,1,516,476,0
172,1,476,436,0
215,4,209,169,0
258,1,436,396,0
301,1,396,356,0
344,1,356,316,0
387,1,316,276,0
430,1,276,236,0
473,1,236,196,0
516,1,196,156,0
559,1,156,116,0
602,1,116,76,0
645,1,76,36,0
688,1,36,0,724
727,6,774,734,0
770,6,734,694,0
813,6,694,654,0
856,6,654,614,0
899,6,614,574,0
942,6,574,534,0
985,6,534,494,0
1028,6,494,454,0
1071,6,454,414,0
1114,6,414,374,0
1157,6,374,334,0
1200,6,334,294,0
1243,6,294,254,0
1286,6,254,214,0
1329,6,214,174,0
1372,6,174,134,0
1415,6,134,94,0
1458,6,94,54,0
1501,6,54,14,0
1544,6,14,0,1558
1561,3,123,83,0
1604,8,308,268,0
1647,8,268,228,0
1690,8,228,188,0
1733,8,188,148,0
1776,8,148,108,0
1819,8,108,68,0
1862,8,68,28,0
1905,8,28,0,1933
1936,5,609,569,0
1979,5,569,529,0
2022,5,529,489,0
2065,5,489,449,0
2108,5,449,409,0
2151,5,409,369,0
2194,5,369,329,0
2237,5,329,289,0
2280,5,289,249,0
2323,5,249,209,0
2366,5,209,169,0
2409,5,169,129,0
2452,5,129,89,0
2495,5,89,49,0
2538,5,49,9,0
2581,5,9,0,2590
2593,7,204,164,0
2636,7,164,124,0
2679,7,124,84,0
2722,7,84,44,0
2765,7,44,4,0
2808,7,4,0,2812
2815,2,222,182,0
2858,2,182,142,0
2901,2,142,102,0
2944,2,102,62,0
2987,2,62,22,0
3030,2,22,0,3052
3055,4,169,129,0
3098,4,129,89,0
3141,4,89,49,0
3184,4,49,9,0
3227,4,9,0,3236
3239,3,83,43,0
3282,3,43,3,0
3325,3,3,0,3328
3331,9,333,293,0
3374,9,293,253,0
3417,9,253,213,0
3460,9,213,173,0
3503,9,173,133,0
3546,9,133,93,0
3589,9,93,53,0
3632,9,53,13,0
3675,9,13,0,3688
TURNAROUND, AVG 
22921,2546.78